security_code,security_name_abbr,apply_date,listing_date,issue_price,online_issue_shares,online_lots_total,online_valid_accounts,online_allocated_accounts,top_apply_amount_wan,threshold_amount_wan,accounts_ge_threshold,account_count_basis,lot_level,manual_ladder_item,manual_threshold_kind,time_priority_required,fit_quality,fit_confidence,point_quality,source,basis,notes
920086,科马材料,2026-01-06,2026-01-16,11.66,18828000,188280,624494,81904,1097.6724,848.38,81904,announcement_constrained_cumulative_lots,2,1+1=848.38,fractional,false,announcement_constrained_ladder,0.75,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_cold_start,announcement_accounts_and_lots_hard_constraints|shape_prior:cold_start|compressed_extra_lots_counts_excluded
920086,科马材料,2026-01-06,2026-01-16,11.66,18828000,188280,624494,81904,1097.6724,909.7,24472,announcement_constrained_cumulative_lots,3,2+1=909.7,fractional,false,announcement_constrained_ladder,0.75,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_cold_start,announcement_accounts_and_lots_hard_constraints|shape_prior:cold_start|compressed_extra_lots_counts_excluded
920050,爱伦医疗,2026-01-12,2026-01-21,15.98,15227851,152278.51,695842,70886,1216.5574,998.9,25472,announcement_constrained_cumulative_lots,2,1+1=998.9,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
920050,爱伦医疗,2026-01-12,2026-01-21,15.98,15227851,152278.51,695842,70886,1216.5574,1154,25472,announcement_constrained_cumulative_lots,3,2+1=1154,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
920076,国亮新材,2026-01-14,2026-01-22,10.76,16240368,162403.68,728083,88524,873.712,662.93,60446.456141,announcement_constrained_cumulative_lots,2,1+1=662.93,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
920159,农大科技,2026-01-19,2026-01-28,25,14400000,144000,545871,66731,1800,1000.25,26472,announcement_constrained_cumulative_lots,2,1+1=1000.25,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
920159,农大科技,2026-01-19,2026-01-28,25,14400000,144000,545871,66731,1800,1295.5,26472,announcement_constrained_cumulative_lots,3,2+1=1295.5,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
920119,美德乐,2026-01-21,2026-01-30,41.88,14400000,144000,592450,60994,3015.36,1087.62,25644.939759,announcement_constrained_cumulative_lots,2,1+1=1087.62,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
920119,美德乐,2026-01-21,2026-01-30,41.88,14400000,144000,592450,60994,3015.36,1471.66,23025.915663,announcement_constrained_cumulative_lots,3,2+1=1471.66,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
920119,美德乐,2026-01-21,2026-01-30,41.88,14400000,144000,592450,60994,3015.36,2211.9,19441.987952,announcement_constrained_cumulative_lots,4,3+1=2211.9,fractional,false,announcement_constrained_ladder,0.85,announcement_constrained_manual,manual_ladder+announcement_aggregate,announcement_constrained_history_prior,announcement_accounts_and_lots_hard_constraints|shape_prior:history_prior|compressed_extra_lots_counts_excluded
